iter: 0, evals: 0, e_err: 3.1761112339e-01, e1: 0.0000000000e+00, ev_err 3.2751500459e-01, r_err: 3.1524466143e-09, lambda: 1.0000000000e+03
iter: 1, evals: 1, e_err: 1.1020882282e-01, e1: 1.1020882282e-01, ev_err 1.1680955234e-01, r_err: 3.1626528894e-09, lambda: 3.0000000000e+02
iter: 2, evals: 2, e_err: 4.6714157651e-02, e1: 4.6714157651e-02, ev_err 5.1101660777e-02, r_err: 3.2002893525e-09, lambda: 9.0000000000e+01
iter: 3, evals: 3, e_err: 3.0750717232e-02, e1: 3.0750717232e-02, ev_err 3.4126803712e-02, r_err: 3.2628483232e-09, lambda: 2.7000000000e+01
iter: 4, evals: 4, e_err: 2.5862775236e-02, e1: 2.5862775236e-02, ev_err 2.8879257871e-02, r_err: 3.3199114071e-09, lambda: 8.1000000000e+00
iter: 5, evals: 5, e_err: 2.3080474702e-02, e1: 2.3080474702e-02, ev_err 2.5849097683e-02, r_err: 3.3898798451e-09, lambda: 2.4300000000e+00
iter: 6, evals: 6, e_err: 2.0712512748e-02, e1: 2.0712512748e-02, ev_err 2.3196490185e-02, r_err: 3.5118925923e-09, lambda: 7.2900000000e-01
iter: 7, evals: 7, e_err: 2.0499172167e-02, e1: 2.0499172167e-02, ev_err 2.2860438726e-02, r_err: 3.8056019543e-09, lambda: 2.1870000000e-01
iter: 7, evals: 8, e_err: 2.0499172167e-02, e1: 5.7400308403e-02, ev_err 2.2860438726e-02, r_err: 3.8056019543e-09, lambda: 2.1870000000e+00
iter: 8, evals: 9, e_err: 1.8732669730e-02, e1: 1.8732669730e-02, ev_err 2.0777550976e-02, r_err: 4.0309764126e-09, lambda: 6.5610000000e-01
iter: 8, evals: 10, e_err: 1.8732669730e-02, e1: 2.4338974934e-02, ev_err 2.0777550976e-02, r_err: 4.0309764126e-09, lambda: 6.5610000000e+00
iter: 9, evals: 11, e_err: 1.6426514648e-02, e1: 1.6426514648e-02, ev_err 1.8170374661e-02, r_err: 4.2861008294e-09, lambda: 1.9683000000e+00
iter: 10, evals: 12, e_err: 1.4575629998e-02, e1: 1.4575629998e-02, ev_err 1.5857469087e-02, r_err: 4.6355449243e-09, lambda: 5.9049000000e-01
iter: 11, evals: 13, e_err: 9.2274274130e-03, e1: 9.2274274130e-03, ev_err 9.8100213195e-03, r_err: 5.0517107874e-09, lambda: 1.7714700000e-01
iter: 12, evals: 14, e_err: 7.8209351468e-03, e1: 7.8209351468e-03, ev_err 8.1863588718e-03, r_err: 5.3879645517e-09, lambda: 5.3144100000e-02
iter: 13, evals: 15, e_err: 5.6273761574e-03, e1: 5.6273761574e-03, ev_err 5.7478471741e-03, r_err: 5.7007398736e-09, lambda: 1.5943230000e-02
iter: 14, evals: 16, e_err: 4.2724984072e-03, e1: 4.2724984072e-03, ev_err 4.2823805034e-03, r_err: 6.0756253569e-09, lambda: 4.7829690000e-03
iter: 14, evals: 17, e_err: 4.2724984072e-03, e1: 9.2179235793e-03, ev_err 4.2823805034e-03, r_err: 6.0756253569e-09, lambda: 4.7829690000e-02
iter: 15, evals: 18, e_err: 3.5292907023e-03, e1: 3.5292907023e-03, ev_err 3.5422859734e-03, r_err: 6.2379863713e-09, lambda: 1.4348907000e-02
iter: 15, evals: 19, e_err: 3.5292907023e-03, e1: 6.3280561007e-03, ev_err 3.5422859734e-03, r_err: 6.2379863713e-09, lambda: 1.4348907000e-01
iter: 16, evals: 20, e_err: 3.3522834734e-03, e1: 3.3522834734e-03, ev_err 3.3668096271e-03, r_err: 6.3534075679e-09, lambda: 4.3046721000e-02
iter: 16, evals: 21, e_err: 3.3522834734e-03, e1: 1.2172016579e-02, ev_err 3.3668096271e-03, r_err: 6.3534075679e-09, lambda: 4.3046721000e-01
