iter: 0, evals: 0, e_err: 2.4541925421e+00, e1: 0.0000000000e+00, ev_err 2.4761703346e+00, r_err: 2.5264982114e-09, lambda: 1.0000000000e+03
iter: 1, evals: 1, e_err: 2.6214767568e-01, e1: 2.6214767568e-01, ev_err 2.4911406171e-01, r_err: 2.8283849824e-09, lambda: 3.0000000000e+02
iter: 2, evals: 2, e_err: 1.1930184383e-01, e1: 1.1930184383e-01, ev_err 9.6232786587e-02, r_err: 4.0542896459e-09, lambda: 9.0000000000e+01
iter: 3, evals: 3, e_err: 1.0611295711e-01, e1: 1.0611295711e-01, ev_err 8.3296583981e-02, r_err: 8.1976196240e-09, lambda: 2.7000000000e+01
iter: 4, evals: 4, e_err: 7.6434296978e-02, e1: 7.6434296978e-02, ev_err 5.9568192678e-02, r_err: 1.8721344789e-08, lambda: 8.1000000000e+00
iter: 5, evals: 5, e_err: 3.7773787793e-02, e1: 3.7773787793e-02, ev_err 3.2050821686e-02, r_err: 2.8900779544e-08, lambda: 2.4300000000e+00
iter: 6, evals: 6, e_err: 3.2965635729e-02, e1: 3.2965635729e-02, ev_err 3.0136589721e-02, r_err: 3.3512996712e-08, lambda: 7.2900000000e-01
iter: 7, evals: 7, e_err: 3.1121612570e-02, e1: 3.1121612570e-02, ev_err 2.8803931385e-02, r_err: 3.8594005482e-08, lambda: 2.1870000000e-01
iter: 8, evals: 8, e_err: 2.9243877915e-02, e1: 2.9243877915e-02, ev_err 2.7004621549e-02, r_err: 5.0372624441e-08, lambda: 6.5610000000e-02
iter: 9, evals: 9, e_err: 2.8104395765e-02, e1: 2.8104395765e-02, ev_err 2.5782050513e-02, r_err: 8.2811976172e-08, lambda: 1.9683000000e-02
iter: 9, evals: 10, e_err: 2.8104395765e-02, e1: 3.5598817748e-02, ev_err 2.5782050513e-02, r_err: 8.2811976172e-08, lambda: 1.9683000000e-01
iter: 10, evals: 11, e_err: 2.3936685433e-02, e1: 2.3936685433e-02, ev_err 2.2559011925e-02, r_err: 1.0295913909e-07, lambda: 5.9049000000e-02
iter: 11, evals: 12, e_err: 2.1423595330e-02, e1: 2.1423595330e-02, ev_err 2.1421586949e-02, r_err: 1.6023607957e-07, lambda: 1.7714700000e-02
iter: 12, evals: 13, e_err: 1.1602371731e-02, e1: 1.1602371731e-02, ev_err 1.1500811501e-02, r_err: 2.4569939388e-07, lambda: 5.3144100000e-03
iter: 13, evals: 14, e_err: 1.0244790584e-02, e1: 1.0244790584e-02, ev_err 1.0076847523e-02, r_err: 2.8244110550e-07, lambda: 1.5943230000e-03
